pairIdx	index	syn1	syn2	DiachrD1	DiachrD2	DiachrDG1	DiachrDG2	DiachrDG_avg	DiachrDG_avgstd	FO1	FO2	FE1	FE2	EnoughFreq	FGO1	FGO2	FGE1	FGE2	FEvol1	FEvol2	WNpressure_1	WNpressure_2	WNsenses_1	WNsenses_2	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
628	2215	contradict	contravene	0.7421383647798743	0.8505747126436781	low	low			9	1	19	1	False	1	0	1	0	0	0	5	5	4	2	0.81449718	0.76397833	-0.050518850000000004	mid	mid	LPC	LPC
629	679	contradict	oppose	0.7421383647798743	0.7878787878787878	low	low			9	50	19	104	True	1	2	1	3	0	1	5	11	4	6	0.76068118	0.71147562	-0.04920555999999998	mid	mid	LPC	LPC
630	987	contravene	contradict	0.8505747126436781	0.7421383647798743	low	low			1	9	1	19	False	0	1	0	1	0	0	5	5	2	4	0.71029428	0.74051097	0.030216690000000046	mid	mid	LD	LPC
631	1811	contravene	infringe	0.8505747126436781	0.8023952095808383	low	low			1	11	1	4	False	0	1	0	0	0	-1	5	5	2	2	0.74968411	0.97651142	0.22682731	mid	far	LD	LD
632	298	contribute	add	0.7654320987654322	0.8095238095238095	low	low			50	344	183	1616	True	2	3	3	3	1	0	11	17	4	6	0.91134539	0.84794444	-0.06340095000000001	far	mid	LPC	LPC
633	212	contribute	bestow	0.7654320987654322	0.8636363636363636	low	avg	s2		50	31	183	12	True	2	2	3	1	1	-1	11	6	4	3	0.36454953	0.44138506	0.07683552999999999	close	close	LD	LD
634	1573	contribute	bring	0.7654320987654322	0.6842105263157895	low	low			50	1148	183	1446	True	2	3	3	3	1	0	11	16	4	11	0.54726025	0.51176437	-0.035495880000000035	close	close	LPC	LPC
635	856	contribute	conduce	0.7654320987654322	0.9949748743718592	low	avgstd	s2	s2	50	6	183	1	False	2	0	3	0	1	0	11	2	4	1	0.43397228	0.68268363	0.24871135	close	mid	LD	LD
636	2499	contribute	give	0.7654320987654322	0.5815602836879432	low	low			50	3078	183	3385	True	2	3	3	3	1	0	11	40	4	44	0.81982029	0.71739422	-0.10242607000000004	mid	mid	LPC	LPC
637	841	contribute	impart	0.7654320987654322	0.8764044943820225	low	avg	s2		50	14	183	14	True	2	1	3	1	1	0	11	13	4	3	0.95391416	0.95200177	-0.001912389999999986	far	far	LD	LPC
