pairIdx	entry	syn	pressure_entry	WN_distance	syns_WordNet	diff_WordNet	WN_hypernymy	WN_antonymy	WN_holonymy	WNpressure_entry	WNsenses_entry	WNsenses_syn	WNpressure_POS_entry	WNsenses_POS_entry	WNsenses_POS_syn	DD_N_entry	DD_N_syn	DDG_N_entry	DDG_N_syn	DDG_N_avg_entry	DDG_N_avg_syn	DDG_N_avg_one	DDG_N_avg_both	DDG_N_avgstd_entry	DDG_N_avgstd_syn	DDG_N_avgstd_one	DDG_N_avgstd_both	DD_OP_entry	DD_OP_syn	DDG_OP_entry	DDG_OP_syn	DDG_OP_avg_entry	DDG_OP_avg_syn	DDG_OP_avg_one	DDG_OP_avg_both	DDG_OP_avgstd_entry	DDG_OP_avgstd_syn	DDG_OP_avgstd_one	DDG_OP_avgstd_both	FO_entry	FO_syn	FE_entry	FE_syn	EnoughFreq	FGO_entry	FGO_syn	FGE_entry	FGE_syn	FGEv_entry	FGEv_syn	Lev	SDO	SDE	Div	SNDO_5	SNDO_10	SNDO_15	SNDO_20	SNDO_40	SNDO_100	SNDE_5	SNDE_10	SNDE_15	SNDE_20	SNDE_40	SNDE_100	NDiv_5	NDiv_10	NDiv_15	NDiv_20	NDiv_40	NDiv_100	SDGO	SDGE	DivG_avg	DivG_avgstd	DivG_closeavg	DivG_closeavgstd	control_1	control_2	control_DD_1	control_DD_2	control_SDO	control_SDE	XKcontrols	NDivG_avg_5	NDivG_avg_10	NDivG_avg_15	NDivG_avg_20	NDivG_avg_40	NDivG_avg_100	NDivG_avgstd_5	NDivG_avgstd_10	NDivG_avgstd_15	NDivG_avgstd_20	NDivG_avgstd_40	NDivG_avgstd_100	absFGEv_entry	absFGEv_syn	normLev	FGDO	FGDE	FGEvD	DeltaDD_N	DeltaDD_OP
10	abandon	forsake	17	0.0	True	False	False	False	False	10	7	1	7	5	1	0.7261146496815287	0.7804878048780488			False	False	False	False	False	False	False	False	0.3692797396462367	0.5591113273877051			False	False	False	False	False	False	False	False	318	90	319	18	True	3	1	2	0	-1	-1	7	0.66915041	0.64247128	-0.026679129999999995	0.8888888888888888	0.9473684210526316	0.9655172413793104	0.9743589743589743	0.9333333333333333	0.9010989010989011	1.0	1.0	0.9655172413793104	0.9743589743589743	0.9333333333333333	0.907103825136612	0.11111111111111116	0.05263157894736836	0.0	0.0	0.0	0.0060049240377109125	mid	close	syns	syns	syns	syns	persuaded	accept	0.7261146496815287	0.6111111111111112	0.66208082	0.55296508	diff	diff	diff	syns	syns	syns	diff	diff	diff	syns	syns	syns	syns	1	1	1.0	2	2	0	0.054373155196520084	0.18983158774146836
11	abandon	relinquish	17	1.0	False	True	True	False	False	10	7	4	7	5	4	0.7261146496815287	0.8636363636363636			False	False	False	False	False	False	False	False	0.3692797396462367	0.6246020536329927			False	False	False	False	False	False	False	False	318	73	319	56	True	3	1	2	1	-1	0	9	0.57928447	0.64465535	0.06537087999999991	0.75	0.8235294117647058	0.8	0.75	0.6440677966101696	0.7341772151898734	0.8888888888888888	0.8888888888888888	0.8	0.8235294117647058	0.8235294117647058	0.8165680473372781	0.13888888888888884	0.065359477124183	0.0	0.07352941176470584	0.1794616151545363	0.08239083214740461	close	close	diff	syns	diff	syns	wearing	wear	0.7096774193548387	0.7012987012987013	0.42538379	0.3937416	diff	diff	diff	syns	diff	diff	diff	diff	diff	syns	diff	diff	diff	1	0	1.0588235294117647	2	1	-1	0.13752171395483492	0.255322313986756
12	abandon	surrender	17	inf	False	True	False	False	False	10	7	6	7	5	2	0.7261146496815287	0.7341772151898734			False	False	False	False	False	False	False	False	0.3692797396462367	0.3866509667842694			False	False	False	False	False	False	False	False	318	252	319	163	True	3	2	2	1	-1	-1	7	0.69076517	0.59736605	-0.09339912000000006	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8571428571428572	0.8636363636363636	0.75	0.8235294117647058	0.8	0.8571428571428572	0.8235294117647058	0.8023952095808383	-0.13888888888888884	-0.065359477124183	-0.0888888888888888	-0.03174603174603163	-0.03361344537815136	-0.061241154055525326	mid	close	syns	syns	syns	syns	revoked	abolished	0.7654320987654322	0.6842105263157895	0.67164298	0.75052226	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	syns	1	1	0.875	1	1	0	0.008062565508344721	0.017371227138032685
13	abandon	cede	17	inf	False	True	False	False	False	10	7	2	7	5	2	0.7261146496815287	0.8888888888888888		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.632152815866595			False	False	False	False	False	False	False	False	318	15	319	25	True	3	0	2	0	-1	0	6	0.76468051	0.7906683	0.025987789999999955	1.0	1.0	0.9655172413793104	0.9473684210526316	0.8888888888888888	0.8571428571428572	0.8888888888888888	0.9473684210526316	0.9655172413793104	0.9189189189189189	0.9189189189189189	0.9130434782608696	-0.11111111111111116	-0.05263157894736836	0.0	-0.02844950213371278	0.03003003003003002	0.05590062111801242	mid	mid	diff	syns	diff	syns	preceding	analyzed	0.6842105263157895	0.7577639751552795	0.75936775	0.75930857	diff	syns	syns	syns	syns	diff	diff	syns	syns	syns	syns	diff	diff	1	0	1.0909090909090908	3	2	-1	0.16277423920736012	0.26287307622035827
14	abandon	renounce	17	1.0	False	True	True	False	False	10	7	4	7	5	4	0.7261146496815287	0.7804878048780488			False	False	False	False	False	False	False	False	0.3692797396462367	0.5150740357298575			False	False	False	False	False	False	False	False	318	64	319	52	True	3	1	2	0	-1	-1	7	0.56290414	0.64446423	0.08156008999999997	1.0	0.8888888888888888	0.9285714285714286	0.8571428571428572	0.8059701492537313	0.7730061349693251	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8571428571428572	0.7692307692307692	0.8165680473372781	-0.11111111111111116	0.0	-0.039682539682539764	0.0	-0.036739380022962176	0.043561912367952926	close	close	diff	diff	diff	syns	loses	lost	0.7421383647798743	0.6928104575163399	0.54867752	0.53008918	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	diff	1	1	0.9333333333333333	2	2	0	0.054373155196520084	0.14579429608362082
15	abandon	vacate	17	0.0	True	False	False	False	False	10	7	3	7	5	3	0.7261146496815287	0.8950276243093923		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.6521588921978116		avg	False	True	True	False	False	False	False	False	318	21	319	18	True	3	0	2	0	-1	0	6	0.87275068	0.8355807	-0.03716998000000005	1.0	1.0	1.0	1.0	0.9743589743589743	0.9473684210526316	1.0	1.0	0.9655172413793104	0.9743589743589743	0.9743589743589743	0.9528795811518325	0.0	0.0	-0.03448275862068961	-0.02564102564102566	0.0	0.005511160099200829	mid	mid	syns	syns	syns	syns	mentioned	purports	0.6394557823129252	0.9304812834224598	0.78856627	0.9219284	syns	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	0	0.9230769230769231	3	2	-1	0.1689129746278636	0.2828791525515749
16	abandon	repudiate	17	inf	False	True	False	False	False	10	7	4	7	5	4	0.7261146496815287	0.9637305699481864		avg	False	True	True	False	False	False	False	False	0.3692797396462367	0.7670408886273236		avg	False	True	True	False	False	False	False	False	318	40	319	12	True	3	1	2	0	-1	-1	8	0.70666579	0.80885715	0.10219136000000006	0.8888888888888888	0.9473684210526316	0.9655172413793104	0.9473684210526316	0.961038961038961	0.9304812834224598	1.0	1.0	1.0	1.0	1.0	1.0	0.11111111111111116	0.05263157894736836	0.03448275862068961	0.05263157894736836	0.038961038961038974	0.06951871657754016	mid	mid	diff	diff	diff	syns	understanding	comprehend	0.8505747126436781	0.6486486486486487	0.67778136	0.69976284	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	diff	1	1	1.0	2	2	0	0.23761592026665768	0.39776114898108683
17	abate	decline	8	2.0	False	True	False	False	False	6	2	11	6	2	7	0.9583333333333334	0.7730061349693251	avg		True	False	True	False	False	False	False	False	0.7583607553589048	0.4094273435372908	avg		True	False	True	False	False	False	False	False	35	234	39	195	True	1	2	0	2	-1	0	6	0.80632994	0.94831063	0.14198069000000002	1.0	1.0	0.9655172413793104	0.9473684210526316	0.9333333333333333	0.9361702127659575	1.0	1.0	1.0	1.0	1.0	0.9949748743718593	0.0	0.0	0.03448275862068961	0.05263157894736836	0.06666666666666665	0.05880466160590181	mid	far	diff	diff	diff	diff	doubts	discussed	0.8165680473372781	0.6666666666666667	0.79765827	0.93095359	diff	syns	syns	diff	diff	diff	diff	syns	syns	diff	diff	diff	diff	1	0	1.0	-1	-2	-1	0.18532719836400824	0.34893341182161397
18	abate	ebb	8	5.0	False	True	False	False	False	6	2	5	6	2	3	0.9583333333333334	0.8439306358381503	avg		True	False	True	False	False	False	False	False	0.7583607553589048	0.4583543517564366	avg		True	False	True	False	False	False	False	False	35	14	39	15	True	1	0	0	0	-1	0	4	0.87571672	0.967646	0.09192928	1.0	1.0	1.0	1.0	1.0	0.9743589743589743	1.0	1.0	0.9655172413793104	0.9743589743589743	0.9873417721518988	0.98989898989899	0.0	0.0	-0.03448275862068961	-0.02564102564102566	-0.012658227848101222	0.015540015540015606	mid	far	diff	diff	diff	syns	soaking	moan	0.9130434782608696	0.8304093567251463	0.84738708	0.83023776	diff	syns	syns	syns	syns	syns	diff	syns	syns	syns	syns	syns	syns	1	0	1.0	1	0	-1	0.11440269749518306	0.3000064036024682
19	abate	mitigate	8	2.0	False	True	False	False	False	6	2	2	6	2	2	0.9583333333333334	0.8700564971751412	avg		True	False	True	False	False	False	False	False	0.7583607553589048	0.5583353444051089	avg		True	False	True	False	False	False	False	False	35	36	39	29	True	1	1	0	0	-1	-1	5	0.78158732	0.70929392	-0.07229339999999995	1.0	0.9473684210526316	0.8888888888888888	0.8888888888888888	0.9189189189189189	0.88268156424581	1.0	0.9473684210526316	0.9285714285714286	0.9473684210526316	0.9333333333333333	0.9528795811518325	0.0	0.0	0.039682539682539764	0.0584795321637428	0.01441441441441449	0.07019801690602245	mid	mid	syns	syns	syns	syns	refute	disown	0.7730061349693251	0.9847715736040608	0.77263854	1.0256107	syns	syns	syns	diff	diff	diff	diff	syns	syns	diff	diff	syns	diff	1	1	0.7692307692307693	0	0	0	0.08827683615819215	0.2000254109537959
